NAME	LAT	LNG	CAPACITY	LANGUAGES
p1	42.502778	1.515278	1000	ES,FR,BE,EN,RU,PT,NE,GE
p2	42.503611	1.518611	1000	ES,FR,BE,EN,RU,PT,NE,GE
p3	42.504444	1.521111	1000	ES,FR,BE,EN,RU,PT,NE,GE
p4	42.505	1.524722	1000	ES,FR,BE,EN,RU,PT,NE,GE
p5	42.505278	1.5275	1000	ES,FR,BE,EN,RU,PT,NE,GE
p6	42.505833	1.531111	1000	ES,FR,BE,EN,RU,PT,NE,GE
p7	42.506667	1.535	1000	ES,FR,BE,EN,RU,PT,NE,GE
p8	42.507222	1.538611	1000	ES,FR,BE,EN,RU,PT,NE,GE
p9	42.508333	1.543611	1000	ES,FR,BE,EN,RU,PT,NE,GE
p10	42.508333	1.547222	1000	ES,FR,BE,EN,RU,PT,NE,GE
p11	42.511667	1.55	1000	ES,FR,BE,EN,RU,PT,NE,GE